coordenador_projeto_pesquisa,unidade_coordenador_projeto,status_projeto_pesquisa,codigo_projeto_pesquisa,data_inicio_projeto,data_fim_projeto,grande_area,area,subarea,titulo_projeto_pesquisa
GILEADE PEREIRA FREITAS,FACULDADE DE ODONTOLOGIA,EM ANDAMENTO (Documentos Conferidos),PI06678-2023,01/04/2023,01/04/2025,Ciências da Saúde,Odontologia,Cirurgia Buco-Maxilo-Facial,"Avaliação do Potencial Osteogênico Induzido por Superfícies Microtexturizadas de Titânio Grau II, IV e V "
FERNANDA BARROS,FACULDADE DE EDUCAÇÃO,EM ANDAMENTO (Documentos Conferidos),PI06684-2023,07/02/2023,31/01/2030,Ciências Humanas,Educação,Fundamentos da Educação,O ENSINO SECUNDÁRIO PÚBLICO DE 1889 A 1961: UM ESTUDO DOCUMENTAL DO HUMANISMO PROPEDÊUTICO FINANCIADO PELO ESTADO BRASILEIRO
FLAVIO GOMES DE OLIVEIRA,FACULDADE DE ARTES VISUAIS,EM ANDAMENTO (Documentos Conferidos),PI06686-2023,27/03/2023,30/12/2026,"Lingüística, Letras e Artes",Artes,Cinema,Animando com gambiarras: uma releitura dos processos de animação a partir do uso de materiais simples e disponíveis.
CLEONICE BORGES DE SOUZA,PRÓ-REITORIA DE PESQUISA E INOVAÇÃO,EM ANDAMENTO (Documentos Conferidos),PI06691-2023,01/02/2023,31/12/2027,Ciências Sociais Aplicadas,Ciência da Informação,Biblioteconomia,Formação Empreendedora e Incubação de Empreendimentos Inovadores na UFG
RODRIGO SAAR GOMES,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA,EM ANDAMENTO (Documentos Conferidos),PI06692-2023,01/03/2023,28/02/2026,Ciências Biológicas,Imunologia,Imunologia Celular,O papel da adenosina deaminase (ADA) na resposta imune nas infecções por Leishmania spp.
MARCELLE FIGUEIRA MARQUES DA SILVA SALES,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA,EM ANDAMENTO,PI06693-2023,01/03/2023,29/02/2028,Ciências Biológicas,Microbiologia,Biologia e Fisiologia dos Microorganismos,Aspectos Moleculares e evolutivos de vírus associados à diarreia neonatal em bovinos de Goiás
DIEGO TARLEY FERREIRA NASCIMENTO,INSTITUTO DE ESTUDOS SÓCIO-AMBIENTAIS,EM ANDAMENTO,PI06694-2023,01/03/2023,01/03/2026,Ciências Exatas e da Terra,Geociências,Geografia Física,AS MUDANÇAS CLIMÁTICAS E OS EVENTOS CLIMÁTICOS EXTREMOS NO CENTRO-OESTE DO BRASIL
RENATA MACHADO PINTO,FACULDADE DE MEDICINA,EM ANDAMENTO (Documentos Conferidos),PI06696-2023,01/01/2023,30/07/2025,Ciências da Saúde,Medicina,Saúde Materno-Infantil,ESTUDO DE AVALIAÇÃO DA CONCORDÂNCIA DO ESTADO NUTRICIONAL PERCEBIDO PELA FAMÍLIA E DO AFERIDO EM CONSULTA PEDIÁTRICA
ELINALDO DA SILVA MEIRA,FACULDADE DE ARTES VISUAIS,EM ANDAMENTO (Documentos Conferidos),PI06697-2023,01/04/2023,01/04/2026,"Lingüística, Letras e Artes",Artes,Fotografia,"DÊS'TAMÃÍN. Monóculos: relações de produção, veiculação e recepção de imagens de meio quadro fotográfico."
MARTHA NOELIA LIMA,FACULDADE DE CIÊNCIAS E TECNOLOGIA,EM ANDAMENTO (Documentos Conferidos),PI06698-2023,01/03/2023,29/02/2028,Ciências Exatas e da Terra,Geociências,Geologia,Estudo petrogenético de rochas alcalinas na região de Iporá
FILIPE LAZZERI VIEIRA,FACULDADE DE FILOSOFIA,EM ANDAMENTO (Documentos Conferidos),PI06699-2023,15/04/2023,15/04/2028,Ciências Humanas,Filosofia,Epistemologia,'Visão de Mundo' e 'Práxis': Uma Análise de Seus Contornos e Interfaces
GUILHERME COLHERINHAS DE OLIVEIRA,INSTITUTO DE FÍSICA,EM ANDAMENTO (Documentos Conferidos),PI06702-2023,01/02/2023,31/12/2035,Ciências Exatas e da Terra,Física,Física Atômica e Molecular,Modelagem e Aplicações de Nanomateriais Utilizando Simulações Computacionais
KLEBBER TEODOMIRO MARTINS FORMIGA,ESCOLA DE ENGENHARIA CIVIL E AMBIENTAL,EM ANDAMENTO,PI06706-2023,14/02/2023,14/02/2028,Engenharias,Engenharia Sanitária,Saneamento Básico,Manejo e Gestão da Drenagem Urbana
VANILTON CAMILO DE SOUZA,INSTITUTO DE ESTUDOS SÓCIO-AMBIENTAIS,EM ANDAMENTO (Documentos Conferidos),PI06707-2023,24/04/2023,15/12/2025,Ciências Humanas,Geografia,Geografia Humana,A REFORMA DO ENSINO MÉDIO E OS DESAFIOS DA GEOGRAFIA ESCOLAR 
PEDRO ADALBERTO GOMES DE OLIVEIRA NETO,FACULDADE DE EDUCAÇÃO,EM ANDAMENTO,PI06709-2023,27/03/2023,07/12/2026,Ciências Humanas,Filosofia,Epistemologia,Dialética do reconhecimento e processo de individuação
ANTONIO DIONISIO FEITOSA NORONHA FILHO,ESCOLA DE VETERINÁRIA E ZOOTECNIA,EM ANDAMENTO (Documentos Conferidos),PI06710-2023,01/06/2023,31/12/2027,Ciências Agrárias,Medicina Veterinária,Clínica e Cirurgia Animal,AVALIAÇÃO ULTRASSONOGRÁFICA DOS DÍGITOS DE BOVINOS LEITEIROS SAUDÁVEIS E COM CLAUDICAÇÃO
GERSON DOS SANTOS LISBOA,FACULDADE DE CIÊNCIAS E TECNOLOGIA,EM ANDAMENTO (Documentos Conferidos),PI06712-2023,01/01/2023,31/12/2027,Ciências Exatas e da Terra,Geociências,Geodésia,"Imagens de Satélite e Aeronave não Tripuladas para a Análise do Uso, Cobertura e Ocupação da Terra no Cerrado, GO-Brasil"
