coordenador_projeto_pesquisa,unidade_coordenador_projeto,status_projeto_pesquisa,codigo_projeto_pesquisa,data_inicio_projeto,data_fim_projeto,grande_area,area,subarea,titulo_projeto_pesquisa
RAQUEL DE ANDRADE CARDOSO SANTIAGO,FACULDADE DE NUTRIÇÃO,EM ANDAMENTO (Documentos Conferidos),PI07021-2023,03/07/2023,30/06/2025,Ciências da Saúde,Nutrição,Dietética,Propriedades tecnológicas de polioís com substitutos de sacarose em produtos panificados 
LUANA ZANOTTO,FACULDADE DE EDUCAÇÃO FISICA E DANÇA,EM ANDAMENTO (Documentos Conferidos),PI07023-2023,12/05/2023,31/07/2025,Ciências da Saúde,Educação Física,,Formação inicial de professores: entre lemas e dilemas do estágio e programas de formação
GEISA CUNHA FRANCO,FACULDADE DE CIÊNCIAS SOCIAIS,EM ANDAMENTO (Documentos Conferidos),PI07029-2023,19/05/2023,01/09/2024,Ciências Humanas,Ciência Política,Política Internacional,A  EFETIVAÇÃO DE DIREITOS FUNDAMENTAIS EM COMUNIDADES AFETADAS POR DESASTRES AMBIENTAIS 
GUILHERME COLHERINHAS DE OLIVEIRA,INSTITUTO DE FÍSICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI076-2013,25/04/2013,31/12/2023,Ciências Exatas e da Terra,Física,Física Atômica e Molecular,ESTUDO TEÓRICO DE PROPRIEDADES ESPECTROSCÓPICAS DE MOLÉCULAS ORGÂNICAS E LÍQUIDOS
BERNARDO PINHEIRO DE ALVARENGA,"ESCOLA DE ENGENHARIA ELÉTRICA, MECÂNICA E DE COMPUTAÇÃO",FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI0797-2016,07/03/2016,30/09/2023,Engenharias,Engenharia Elétrica,Sistemas Elétricos de Potência,MÉTODOS NUMÉRICOS E OTIMIZAÇÃO APLICADOS À ANÁLISE NÃO-LINEAR DE MÁQUINAS ELÉTRICAS
MAGDA DE MIRANDA CLIMACO,ESCOLA DE MÚSICA E ARTES CÊNICAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI0935-2016,20/01/2016,23/12/2023,"Lingüística, Letras e Artes",Artes,Música,"MÚSICAS BRASILEIRAS: memória, diversidade e configurações identitárias"
LUCIMEIRE ANTONELLI DA SILVEIRA,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA,PRORROGAÇÃO PENDENTE PRPI,PI0948-2015,31/12/2015,31/12/2023,Ciências Biológicas,Imunologia,Imunologia Aplicada,Tumor Experimental
GABRIELA RODRIGUES MENDES DUARTE,INSTITUTO DE QUÍMICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI0956-2013,01/02/2013,31/12/2023,Ciências Exatas e da Terra,Química,Química Analítica,Dispositivos microfluídicos integrados de poliéster-toner (PT) para análises genéticas: Desenvolvimento e aplicações.
MAURICIO DONIZETTI PIETERZACK,DIRETORIA DE ACOMPANHAMENTO E DESENVOLVIMENTO DE PESSOAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI0965-2017,01/04/2017,15/09/2023,Ciências Exatas e da Terra,Matemática,Geometria e Topologia,Métricas Conformes e o Problema da Curvatura Prescrita
FABIOLLA XAVIER ROCHA FERREIRA LIMA,ESCOLA DE AGRONOMIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI0990-2017,03/04/2017,31/12/2023,Ciências Sociais Aplicadas,Arquitetura e Urbanismo,Tecnologia de Arquitetura e Urbanismo,TECNOLOGIA EM BLOCOS DE TERRA COMPACTADA (BTC) DE SOLO-CIMENTO COM INCORPORAÇÃO DE RESÍDUOS
SHEILA DE CARVALHO PEREIRA GONCALVES,UNID. ACAD. ESP/LETRAS E LINGUISTICA - CATALAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PV01088-2016,04/01/2016,31/12/2023,"Lingüística, Letras e Artes",Lingüística,Teoria e Análise Lingüística,O DICIONÁRIO COMO MATERIAL DIDÁTICO: reflexões e possibilidades 
TIAGO MOREIRA VARGAS,INSTITUTO DE MATEMÁTICA E ESTATÍSTICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PV01190-2017,17/04/2017,31/07/2023,Ciências Exatas e da Terra,Probabilidade e Estatística,Estatística,ESTATÍSTICA GRADIENTE E TEORIA ASSINTÓTICA DE ALTA ORDEM
MARLON HERBERT FLORA BARBOSA SOARES,INSTITUTO DE QUÍMICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PV0126-2013,27/02/2013,29/03/2023,Ciências Humanas,Educação,Ensino-Aprendizagem,AS TECNOLOGIAS DE INFORMAÇÃO E COMUNICAÇÃO E SUAS RELAÇÕES COM A EXPERIMENTAÇÃO NO ENSINO DE QUÍMICA
FLAVIANA VELY MENDONCA VIEIRA,FACULDADE DE ENFERMAGEM,AGUARDANDO PRORROGAÇÃO DIREÇÃO,PV01497-2015,05/01/2015,31/12/2023,Ciências da Saúde,Enfermagem,Enfermagem Obstétrica,Estudo comparativo de intervenções para a prevenção da dor e do trauma mamilar na amamentação
ROSANE ROCHA PESSOA,FACULDADE DE LETRAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PV01875-2017,27/06/2017,31/01/2023,"Lingüística, Letras e Artes",Lingüística,Lingüística Aplicada,Perspectivas decoloniais na formação de professoras/es de língua inglesa do estado de Goiás 
ANDRE CARLOS SILVA,UAE - DE ENGENHARIA - CATALÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PV02236-2018,01/03/2018,20/09/2023,Engenharias,Engenharia de Minas,Tratamento de Minérios,Development of a production chain for rare earth elements from tailings of the ultramafic alkaline-carbonatite complex Catalão/Goiás
TANIA MAIA BARCELOS,UNID. ACAD. ESP/BIOTECNOLOGIA - CATALAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PV02254-2015,01/03/2021,31/12/2023,Ciências Humanas,Psicologia,Psicologia Social,Produção de subjetividade e cultura
RENAN NUNES LELES,INSTITUTO DE CIENCIAS BIOLOGICAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PV02388-2018,01/06/2018,01/06/2023,Ciências Biológicas,Parasitologia,Entomologia e Malacologia de Parasitos e Vetores,Isolamento e identificação de fungos entomopatogênicos de solo na cidade de Goiânia.
FERNANDA CRUVINEL PIMENTEL,CENTRO DE ENSINO E PESQUISA APLICADA A EDUCACAO,AGUARDANDO PRORROGAÇÃO DIREÇÃO,PV02411-2018,01/05/2018,02/03/2023,Ciências Humanas,Educação,Currículo,Currículo de Educação Física na educação básica: Pressupostos e interfaces da proposta da BNCC e a proposta curricular do CEPAE/UFG
CAMILA ALBERTO VICENTE DE OLIVEIRA,UAE REJ ESPECIAL DE EDUCAÇÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PV02439-2018,19/04/2018,30/12/2023,Ciências Humanas,Educação,Planejamento e Avaliação Educacional,Constituição e organização dos Conselhos Municipais de Educação em Goiás 
ARISTONIO MAGALHAES TELES,INSTITUTO DE CIENCIAS BIOLOGICAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PV02486-2015,12/01/2015,29/12/2023,Ciências Biológicas,Botânica,Taxonomia Vegetal,TAXONOMIA E FLORÍSTICA DE ASTERACEAE NA REGIÃO CENTRO-OESTE DO BRASIL
MAGDA DE MIRANDA CLIMACO,ESCOLA DE MÚSICA E ARTES CÊNICAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PV02508-2018,23/03/2018,30/12/2023,"Lingüística, Letras e Artes",Artes,Música,GÊNERO MUSICAL CHORO NO CENÁRIO GOIANIENSE: um enfoque de sua trajetória histórica e processos identitários 
DAIANA STASIAK,FACULDADE DE INFORMAÇÃO E COMUNICAÇÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PV02738-2014,17/03/2014,23/05/2023,Ciências Sociais Aplicadas,Comunicação,Relações Públicas e Propaganda,Pesquisa e diagnóstico da comunicação institucional da Universidade Federal de Goiás 
RENATA CRISTINA VILACA CRUZ,FACULDADE DE LETRAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PV02879-2018,01/08/2018,31/07/2023,"Lingüística, Letras e Artes",Lingüística,Lingüística Aplicada,Formação de tradutores e intérpretes de língua brasileira de sinais - língua portuguesa
DANIELA DE MELO E SILVA,INSTITUTO DE CIENCIAS BIOLOGICAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PV03032-2018,01/03/2018,31/12/2023,Ciências Biológicas,Genética,Mutagenese,IMPACTOS DOS AGROTÓXICOS NA SAÚDE DE TRABALHADORES RURAIS DO SUDESTE E SUDOESTE GOIANO OCUPACIONALMENTE EXPOSTOS
ROGERIO DE ARAUJO ALMEIDA,ESCOLA DE AGRONOMIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PV03196-2019,01/01/2019,31/12/2023,Ciências Agrárias,Engenharia Agrícola,Engenharia de Água e Solo,Water requirements of bamboo plantation and development of perennial species in intercropping with bamboo
DANIELLE GUIMARAES ALMEIDA DINIZ,FACULDADE DE FARMÁCIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PV0524-2017,01/08/2017,31/12/2023,Ciências da Saúde,Farmácia,,Otimização do processo de produção piloto e desenvolvimento de processo de liofilização de nanopartículas.
EVERTON KORT KAMP FERNANDES,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PV0721-2017,01/06/2017,31/12/2023,Ciências Agrárias,Medicina Veterinária,Medicina Veterinária Preventiva,Estratégia push-pull para controle do carrapato Rhipicephalus sanguineus sensu lato
JANAINA CASSIANO SILVA,UNID. ACAD. ESP/BIOTECNOLOGIA - CATALAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PV0778-2015,10/04/2015,31/01/2023,Ciências Humanas,Educação,Fundamentos da Educação,"Panorama da educação infantil no sudeste goiano: concepções, práticas educativas e políticas públicas"
HANS CHRISTIAN KLOTZ,FACULDADE DE FILOSOFIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PV0801-2017,01/04/2017,30/12/2023,Ciências Humanas,Filosofia,Metafísica,Pensamento monista e elucidação da consciência na filosofia tardia de Fichte
VALERIA PAGOTTO,FACULDADE DE ENFERMAGEM,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PV0899-2017,06/02/2017,31/12/2023,Ciências da Saúde,Enfermagem,Enfermagem de Saúde Pública,"CONDIÇÕES DE VIDA, SAÚDE, FRAGILIDADE E COMPOSIÇÃO CORPORAL DE IDOSOS: COORTE DO PROJETO IDOSOS/GOIÂNIA"
